Aux Position (J=X5),Sys Position (J=X5),Aux Velocity (J=X5),Sys Velocity (J=X5),Aux Position (J=X0),Sys Position (J=X0),Aux Velocity (J=X0),Sys Velocity (J=X0),Target Position (J=X5),Target Position (J=X0),Change Position (J=X5),Change Position (J=X0),Original Change Position (J=X5),Original Change Position (J=X0),Pos Func Position (J=X5),Pos Func Position (J=X0)
49.0,44.0,819.0,360.0,-324.0,-329.0,819.0,360.0,-373.0,0.0,326.0,326.0,326.0,326.0,0.002703,0.002703
51.0,45.0,818.0,350.0,-322.0,-328.0,818.0,350.0,-373.0,0.0,324.0,324.0,324.0,324.0,0.002778,0.002778
53.0,46.0,817.0,340.0,-320.0,-327.0,817.0,340.0,-373.0,0.0,322.0,322.0,322.0,322.0,0.002857,0.002857
55.0,47.0,816.0,330.0,-318.0,-326.0,816.0,330.0,-373.0,0.0,320.0,320.0,320.0,320.0,0.002941,0.002941
57.0,48.0,815.0,320.0,-316.0,-325.0,815.0,320.0,-373.0,0.0,318.0,318.0,318.0,318.0,0.00303,0.00303
59.0,49.0,814.0,310.0,-314.0,-324.0,814.0,310.0,-373.0,0.0,316.0,316.0,316.0,316.0,0.003125,0.003125
61.0,50.0,812.0,301.0,-312.0,-323.0,812.0,301.0,-373.0,0.0,314.0,314.0,314.0,314.0,0.003226,0.003226
63.0,51.0,810.0,292.0,-310.0,-322.0,810.0,292.0,-373.0,0.0,312.0,312.0,312.0,312.0,0.003322,0.003322
65.0,52.0,808.0,283.0,-308.0,-321.0,808.0,283.0,-373.0,0.0,310.0,310.0,310.0,310.0,0.003425,0.003425
67.0,53.0,806.0,274.0,-306.0,-320.0,806.0,274.0,-373.0,0.0,308.0,308.0,308.0,308.0,0.003534,0.003534
69.0,54.0,804.0,265.0,-304.0,-319.0,804.0,265.0,-373.0,0.0,306.0,306.0,306.0,306.0,0.00365,0.00365
72.0,55.0,802.0,256.0,-301.0,-318.0,802.0,256.0,-373.0,0.0,304.0,304.0,304.0,304.0,0.003774,0.003774
75.0,56.0,799.0,248.0,-298.0,-317.0,799.0,248.0,-373.0,0.0,301.0,301.0,301.0,301.0,0.003906,0.003906
78.0,57.0,796.0,240.0,-295.0,-316.0,796.0,240.0,-373.0,0.0,298.0,298.0,298.0,298.0,0.004032,0.004032
81.0,58.0,793.0,232.0,-292.0,-315.0,793.0,232.0,-373.0,0.0,295.0,295.0,295.0,295.0,0.004167,0.004167
84.0,59.0,790.0,224.0,-289.0,-314.0,790.0,224.0,-373.0,0.0,292.0,292.0,292.0,292.0,0.00431,0.00431
87.0,60.0,786.0,217.0,-286.0,-313.0,786.0,217.0,-373.0,0.0,289.0,289.0,289.0,289.0,0.004464,0.004464
90.0,61.0,782.0,210.0,-283.0,-312.0,782.0,210.0,-373.0,0.0,286.0,286.0,286.0,286.0,0.004608,0.004608
93.0,62.0,778.0,203.0,-280.0,-311.0,778.0,203.0,-373.0,0.0,283.0,283.0,283.0,283.0,0.004762,0.004762
96.0,63.0,774.0,197.0,-277.0,-310.0,774.0,197.0,-373.0,0.0,280.0,280.0,280.0,280.0,0.004926,0.004926
99.0,64.0,769.0,191.0,-274.0,-309.0,769.0,191.0,-373.0,0.0,277.0,277.0,277.0,277.0,0.005076,0.005076
103.0,65.0,764.0,186.0,-270.0,-308.0,764.0,186.0,-373.0,0.0,274.0,274.0,274.0,274.0,0.005236,0.005236
107.0,66.0,759.0,181.0,-266.0,-307.0,759.0,181.0,-373.0,0.0,270.0,270.0,270.0,270.0,0.005376,0.005376
111.0,67.0,753.0,177.0,-262.0,-306.0,753.0,177.0,-373.0,0.0,266.0,266.0,266.0,266.0,0.005525,0.005525
115.0,68.0,747.0,173.0,-258.0,-305.0,747.0,173.0,-373.0,0.0,262.0,262.0,262.0,262.0,0.00565,0.00565
119.0,69.0,740.0,170.0,-254.0,-304.0,740.0,170.0,-373.0,0.0,258.0,258.0,258.0,258.0,0.00578,0.00578
123.0,70.0,733.0,167.0,-250.0,-303.0,733.0,167.0,-373.0,0.0,254.0,254.0,254.0,254.0,0.005882,0.005882
127.0,71.0,726.0,165.0,-246.0,-302.0,726.0,165.0,-373.0,0.0,250.0,250.0,250.0,250.0,0.005988,0.005988
131.0,72.0,719.0,164.0,-242.0,-301.0,719.0,164.0,-373.0,0.0,246.0,246.0,246.0,246.0,0.006061,0.006061
135.0,73.0,711.0,163.0,-238.0,-300.0,711.0,163.0,-373.0,0.0,242.0,242.0,242.0,242.0,0.006098,0.006098
139.0,74.0,703.0,163.0,-234.0,-299.0,703.0,163.0,-373.0,0.0,238.0,238.0,238.0,238.0,0.006135,0.006135
143.0,75.0,695.0,163.0,-230.0,-298.0,695.0,163.0,-373.0,0.0,234.0,234.0,234.0,234.0,0.006135,0.006135
147.0,76.0,687.0,163.0,-226.0,-297.0,687.0,163.0,-373.0,0.0,230.0,230.0,230.0,230.0,0.006135,0.006135
151.0,77.0,679.0,164.0,-222.0,-296.0,679.0,164.0,-373.0,0.0,226.0,226.0,226.0,226.0,0.006135,0.006135
155.0,78.0,671.0,165.0,-218.0,-295.0,671.0,165.0,-373.0,0.0,222.0,222.0,222.0,222.0,0.006098,0.006098
159.0,79.0,663.0,167.0,-214.0,-294.0,663.0,167.0,-373.0,0.0,218.0,218.0,218.0,218.0,0.006061,0.006061
